Events,results,white_elo,black_elo,white_rating_diff,black_rating_diff,ecos,openings,time_control,termination,game_id
Rated Classical game,1-0,1639,1403,5,-8,C00,French Defense: Normal Variation,600+8,Normal,0
Rated Classical game,1-0,1654,1919,19,-22,D04,"Queen's Pawn Game: Colle System, Anti-Colle",480+2,Normal,1
Rated Classical game,1-0,1643,1747,13,-94,C50,Four Knights Game: Italian Variation,420+17,Normal,2
Rated Bullet game,0-1,1824,1973,-6,8,B12,Caro-Kann Defense: Goldman Variation,60+1,Normal,3
Rated Bullet game,0-1,1765,1815,-9,9,C00,French Defense: La Bourdonnais Variation,60+1,Normal,4
Rated Blitz game,1-0,1477,1487,12,-11,B00,Owen Defense,300+3,Time forfeit,5
Rated Blitz game,0-1,1541,1500,-8,196,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",300+0,Normal,6
Rated Classical game,1-0,1765,1752,10,-10,C20,English Opening: The Whale,540+0,Normal,7
Rated Classical game,1-0,1445,1169,4,-15,A43,Old Benoni Defense,900+0,Normal,8
Rated Blitz game,0-1,1522,1428,-14,14,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit,180+5,Normal,9
Rated Classical game,0-1,1644,1544,-16,14,B06,Modern Defense,600+8,Normal,10
Rated Classical game,0-1,1957,1755,-158,14,C13,"French Defense: Classical Variation, Richter Attack",300+8,Normal,11
Rated Classical game,1-0,1656,1812,16,-17,C50,Giuoco Piano,420+17,Normal,12
Rated Blitz game,1-0,1436,1506,15,-14,C60,Ruy Lopez: Cozio Defense,420+0,Normal,13
Rated Blitz game,1/2-1/2,1878,1940,2,-2,B21,Sicilian Defense: McDonnell Attack,300+0,Normal,14
Rated Classical game,0-1,1742,1775,-10,10,A01,Nimzo-Larsen Attack: Modern Variation #2,540+0,Normal,15
Rated Classical game,1-0,1824,1811,11,-11,C02,French Defense: Advance Variation #2,360+6,Normal,16
Rated Classical game,1-0,1653,1395,25,-7,C00,French Defense: Normal Variation,1200+0,Time forfeit,17
Rated Classical game,1-0,1897,1673,6,-5,B01,Scandinavian Defense: Mieses-Kotroc Variation,480+2,Time forfeit,18
Rated Blitz game,1-0,1492,1451,10,-11,C24,Bishop's Opening: Berlin Defense,420+0,Normal,19
Rated Blitz game,1-0,1500,1585,222,-9,C30,King's Gambit,300+0,Normal,20
Rated Classical game,1-0,1463,1504,62,-12,C44,Scotch Game: Benima Defense,1560+30,Normal,21
Rated Blitz game,1-0,1554,1429,7,-7,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+2,Time forfeit,22
Rated Blitz game,1-0,1938,1880,9,-10,D20,Queen's Gambit Accepted: Saduleto Variation,300+0,Normal,23
Rated Classical game,1-0,1336,1337,11,-41,C40,King's Pawn Game: McConnell Defense,300+5,Normal,24
Rated Blitz game,1-0,1793,1827,14,-12,A40,Horwitz Defense,300+0,Time forfeit,25
Rated Classical game,0-1,1785,1732,-12,12,B06,Modern Defense,540+0,Normal,26
Rated Bullet game,1-0,1981,1601,2,-3,A15,"English Opening: Anglo-Indian Defense, King's Knight Variation",60+1,Time forfeit,27
Rated Classical game,1-0,1711,1800,14,-15,C02,French Defense: Advance Variation #2,360+6,Normal,28
Rated Classical game,1-0,1421,1491,43,-71,B07,Pirc Defense #5,300+8,Normal,29
Rated Bullet game,1-0,1849,1728,7,-8,A43,Old Benoni Defense,60+0,Time forfeit,30
Rated Blitz game,0-1,1440,1502,-10,9,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",420+0,Time forfeit,31
Rated Classical game,1-0,1548,1415,8,-8,C21,Center Game #2,480+8,Normal,32
Rated Bullet game,0-1,1561,1503,-13,14,B06,Robatsch (Modern) Defense,60+0,Time forfeit,33
Rated Blitz game,0-1,1489,1561,-9,9,C23,Bishop's Opening: Philidor Counterattack,300+3,Normal,34
Rated Classical game,1-0,1492,1525,12,-53,B50,Sicilian Defense,1560+30,Normal,35
Rated Classical game,0-1,1347,1519,-6,23,B01,Scandinavian Defense,300+5,Time forfeit,36
Rated Blitz game,1-0,1162,1244,17,-21,A00,Van't Kruijs Opening,420+0,Normal,37
Rated Classical game,1-0,1627,1633,11,-11,A40,English Defense,180+15,Normal,38
