move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,0,0
e7e6,0.093,0.89,0.017,41.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,0,1
d2d4,0.014,0.878,0.108,49.0,,d2d4,27.0,,b1c3,27.0,,g1f3,15.0,,0,2
b7b6,0.275,0.721,0.004,101.0,,d7d5,57.0,,a7a6,76.0,,h7h6,107.0,,0,3
a2a3,0.008,0.826,0.166,71.0,,g1f3,105.0,,f1d3,101.0,,c2c3,100.0,,0,4
c8b7,0.254,0.741,0.005,95.0,,c8b7,75.0,,d7d5,81.0,,d7d6,102.0,,0,5
b1c3,0.004,0.706,0.29,103.0,,b1c3,69.0,,f1d3,69.0,,b1d2,61.0,,0,6
g8h6,0.821,0.179,0.0,209.0,,g8f6,81.0,,d7d5,88.0,,f8e7,100.0,,0,7
c1h6,0.001,0.331,0.668,172.0,,g1f3,199.0,,f1d3,198.0,,d4d5,192.0,,0,8
g7h6,0.748,0.251,0.001,187.0,,g7h6,197.0,,d7d5,700.0,,c7c5,922.0,,0,9
f1e2,0.004,0.722,0.274,98.0,,d1d2,176.0,,g1e2,176.0,,f2f4,169.0,,0,10
d8g5,0.496,0.503,0.001,138.0,,f8g7,72.0,,d8f6,114.0,,d7d6,138.0,,0,11
e2g4,0.011,0.881,0.108,49.0,,g1f3,170.0,,g2g3,144.0,,d1d3,116.0,,0,12
h6h5,0.155,0.838,0.007,66.0,,g5g6,44.0,,b8c6,51.0,,h6h5,94.0,,0,13
g1f3,1.0,0.0,0.0,-712.0,,g4f3,72.0,,g4h3,68.0,,g4h5,24.0,,0,14
g5g6,0.376,0.622,0.002,115.0,,g5g4,-731.0,,g5h6,62.0,,g5f6,149.0,,0,15
f3h4,1.0,0.0,0.0,-806.0,,f3e5,123.0,,g4h3,57.0,,g4f5,-495.0,,0,16
g6g5,0.0,0.0,1.0,-457.0,,g6g4,-758.0,,g6f6,-444.0,,g6g5,-425.0,,0,17
g4h5,0.999,0.001,0.0,-435.0,,g4h5,-324.0,,g4e2,-519.0,,g4f3,-530.0,,0,18
g5h4,0.0,0.001,0.999,-434.0,,g5h4,-379.0,,c7c5,0.0,,b8c6,150.0,,0,19
d1f3,1.0,0.0,0.0,-446.0,,d1f3,-387.0,,g2g3,-423.0,,e1g1,-463.0,,0,20
e8d8,0.0,0.009,0.991,-317.0,,h4e7,-424.0,,e8d8,-303.0,,f8h6,-274.0,,0,21
f3f7,0.991,0.009,0.0,-315.0,,f3f7,-279.0,,g2g3,-353.0,,e1c1,-374.0,,0,22
b8c6,1.0,0.0,0.0,,1.0,f8h6,-331.0,,h4e7,-312.0,,f8e7,-281.0,,0,23
f7e8,,,,,0.0,f7e8,,1.0,d4d5,62.0,,a1d1,-330.0,,0,24
d2d4,0.019,0.896,0.085,36.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,1,0
d7d5,0.101,0.883,0.016,45.0,,d7d5,45.0,,g8f6,45.0,,e7e6,46.0,,1,1
g1f3,0.021,0.902,0.077,31.0,,c2c4,47.0,,g1f3,38.0,,e2e3,17.0,,1,2
g8f6,0.103,0.882,0.015,46.0,,g8f6,37.0,,e7e6,37.0,,c7c6,49.0,,1,3
e2e3,0.026,0.915,0.059,19.0,,c2c4,30.0,,e2e3,6.0,,c1f4,0.0,,1,4
c8f5,0.071,0.908,0.021,28.0,,c7c5,-1.0,,b7b6,13.0,,e7e6,17.0,,1,5
f3h4,0.051,0.92,0.029,-12.0,,c2c4,45.0,,f1d3,18.0,,f1e2,-2.0,,1,6
f5g6,0.125,0.864,0.011,56.0,,f5g4,-11.0,,f5d7,13.0,,f5c8,13.0,,1,7
h4g6,0.009,0.839,0.152,66.0,,c2c4,58.0,,h4g6,39.0,,f1e2,5.0,,1,8
h7g6,0.129,0.861,0.01,58.0,,h7g6,44.0,,f7g6,212.0,,b8c6,953.0,,1,9
b1d2,0.015,0.898,0.087,38.0,,c2c4,48.0,,a2a3,33.0,,b1d2,20.0,,1,10
e7e6,0.091,0.895,0.014,41.0,,b8d7,16.0,,c7c6,33.0,,b8c6,44.0,,1,11
f1d3,0.117,0.873,0.01,-53.0,,g2g3,53.0,,c2c3,40.0,,c2c4,13.0,,1,12
f8d6,0.067,0.914,0.019,27.0,,c7c5,-48.0,,f8e7,-3.0,,c7c6,-3.0,,1,13
e3e4,0.02,0.918,0.062,24.0,,e3e4,28.0,,c2c4,20.0,,a2a3,0.0,,1,14
d5e4,0.137,0.855,0.008,60.0,,e6e5,14.0,,d5e4,48.0,,f6e4,91.0,,1,15
d2e4,0.012,0.893,0.095,43.0,,d2e4,52.0,,d3e4,-36.0,,d3c4,-164.0,,1,16
h8h2,0.906,0.094,0.0,226.0,,b8c6,57.0,,d6e7,62.0,,f6e4,84.0,,1,17
e1e2,0.263,0.734,0.003,-92.0,,h1h2,296.0,,e4f6,160.0,,e1e2,-85.0,,1,18
h2h1,0.003,0.721,0.276,-95.0,,b8c6,-90.0,,h2h1,-52.0,,h2h5,-47.0,,1,19
d1h1,0.389,0.609,0.002,-114.0,,e4d6,-88.0,,d1h1,-104.0,,e4f6,-246.0,,1,20
b8c6,0.014,0.91,0.076,-34.0,,f6e4,-110.0,,d6f8,-54.0,,b8c6,0.0,,1,21
c1g5,0.73,0.27,0.0,-170.0,,h1h8,0.0,,c2c3,-56.0,,e4d6,-76.0,,1,22
e8e7,0.074,0.912,0.014,33.0,,c6d4,-179.0,,d6e7,-158.0,,e8d7,0.0,,1,23
h1h7,0.965,0.035,0.0,-256.0,,c2c3,42.0,,g5e3,-52.0,,e2e3,-77.0,,1,24
c6d4,0.0,0.004,0.996,-341.0,,c6d4,-313.0,,d6f4,-245.0,,d8h8,-132.0,,1,25
e2d2,1.0,0.0,0.0,-815.0,,e2e3,-313.0,,e2e1,-510.0,,e2d1,-527.0,,1,26
d8e8,1.0,0.0,0.0,814.0,,d6f4,-821.0,,d4f3,-426.0,,d4f5,-390.0,,1,27
h7g7,0.0,0.0,1.0,791.0,,h7g7,692.0,,e4d6,634.0,,e4f6,-196.0,,1,28
e8h8,1.0,0.0,0.0,1446.0,,d6f4,776.0,,d4f5,875.0,,d4f3,1012.0,,1,29
g5f6,0.0,0.0,1.0,1453.0,,g5f6,1461.0,,g7h8,1074.0,,g7f6,907.0,,1,30
e7d7,1.0,0.0,0.0,1461.0,,e7d7,1461.0,,e7e8,1959.0,,e7e8,1959.0,,1,31
g7h8,0.0,0.0,1.0,1085.0,,g7f7,1469.0,,g7h8,1130.0,,f6d4,921.0,,1,32
a8h8,1.0,0.0,0.0,1081.0,,a8h8,1146.0,,d6f4,1225.0,,d6b4,1416.0,,1,33
f6h8,0.0,0.0,1.0,1081.0,,f6h8,1161.0,,e4d6,1100.0,,f6d4,979.0,,1,34
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,2,0
e7e5,0.088,0.894,0.018,38.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,2,1
g1f3,0.02,0.9,0.08,33.0,,g1f3,41.0,,f1e2,6.0,,b1c3,0.0,,2,2
b8c6,0.091,0.892,0.017,40.0,,b8c6,58.0,,g8f6,76.0,,d7d6,78.0,,2,3
f1c4,0.018,0.9,0.082,35.0,,f1b5,50.0,,f1c4,27.0,,b1c3,10.0,,2,4
g8f6,0.087,0.896,0.017,38.0,,f8c5,22.0,,g8f6,22.0,,d7d6,66.0,,2,5
b1c3,0.046,0.922,0.032,-8.0,,d2d3,27.0,,d2d4,10.0,,d1e2,-6.0,,2,6
f8c5,0.049,0.921,0.03,11.0,,f6e4,-40.0,,f8c5,19.0,,f8e7,39.0,,2,7
a2a3,0.041,0.924,0.035,-3.0,,d2d3,19.0,,a2a3,12.0,,h2h3,7.0,,2,8
c5f2,0.999,0.001,0.0,437.0,,d7d6,1.0,,a7a6,5.0,,a7a5,8.0,,2,9
e1f2,0.0,0.001,0.999,452.0,,e1f2,446.0,,e1f1,-240.0,,e1e2,-254.0,,2,10
c6d4,1.0,0.0,0.0,544.0,,f6e4,447.0,,c6d4,540.0,,e8g8,575.0,,2,11
d2d3,0.0,0.0,1.0,506.0,,h2h3,585.0,,d2d3,584.0,,h1f1,474.0,,2,12
f6g4,1.0,0.0,0.0,761.0,,c7c6,552.0,,e8g8,621.0,,b7b5,692.0,,2,13
f2f1,0.0,0.0,1.0,653.0,,f2g1,743.0,,f2e1,669.0,,f2f1,661.0,,2,14
d8f6,1.0,0.0,0.0,1012.0,,e8g8,652.0,,d7d6,685.0,,g4f6,685.0,,2,15
h2h3,0.0,0.0,1.0,958.0,,c3d5,1003.0,,h2h3,938.0,,f1e1,741.0,,2,16
d7d5,1.0,0.0,0.0,1043.0,,d4f3,930.0,,g4h2,959.0,,d7d6,976.0,,2,17
c3d5,0.0,0.0,1.0,1032.0,,c3d5,1058.0,,c4a2,869.0,,e4d5,861.0,,2,18
f6e6,1.0,0.0,0.0,1538.0,,f6d8,1048.0,,f6d6,1088.0,,d4f3,1092.0,,2,19
d5c7,0.0,0.0,1.0,1523.0,,d5c7,1492.0,,f3d4,1492.0,,h3g4,1126.0,,2,20
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,3,0
c7c6,0.08,0.9,0.02,33.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,3,1
b1c3,0.021,0.903,0.076,31.0,,c2c4,57.0,,d2d4,48.0,,b1c3,38.0,,3,2
d7d5,0.076,0.904,0.02,31.0,,d7d5,34.0,,a7a6,66.0,,g7g6,84.0,,3,3
