move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,240,0
e7e6,0.093,0.89,0.017,41.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,240,1
f1c4,0.104,0.881,0.015,-47.0,,d2d4,27.0,,b1c3,27.0,,g1f3,15.0,,240,2
g8e7,0.065,0.911,0.024,24.0,,d7d5,-32.0,,b8c6,-29.0,,c7c5,-4.0,,240,3
h2h3,0.042,0.921,0.037,-3.0,,g1f3,35.0,,c4b3,35.0,,d2d4,20.0,,240,4
e7g6,0.056,0.917,0.027,16.0,,d7d5,-3.0,,c7c5,5.0,,e7g6,6.0,,240,5
g2g4,0.78,0.22,0.0,-199.0,,b1c3,14.0,,d2d4,7.0,,c4e2,6.0,,240,6
f8e7,0.003,0.668,0.329,-111.0,,d7d5,-172.0,,c7c5,-145.0,,b8c6,-116.0,,240,7
f2f3,0.997,0.003,0.0,-391.0,,b1c3,-112.0,,c4e2,-144.0,,d2d4,-167.0,,240,8
e8g8,0.0,0.064,0.936,-256.0,,d7d5,-388.0,,e7h4,-350.0,,b8c6,-331.0,,240,9
g1e2,1.0,0.0,0.0,-600.0,,b1c3,-234.0,,d2d4,-368.0,,c4b3,-387.0,,240,10
c7c6,0.0,0.081,0.919,-242.0,,e7h4,-610.0,,d7d5,-605.0,,g6e5,-473.0,,240,11
e1g1,0.93,0.07,0.0,-247.0,,e1g1,-254.0,,c4b3,-318.0,,d2d4,-325.0,,240,12
d7d5,0.0,0.067,0.933,-247.0,,b7b5,-253.0,,d7d5,-253.0,,b7b6,-206.0,,240,13
e4d5,0.998,0.002,0.0,-397.0,,c4b3,-250.0,,e4d5,-343.0,,c4d3,-499.0,,240,14
e6d5,0.0,0.003,0.997,-382.0,,e6d5,-368.0,,b7b5,-318.0,,c6d5,-293.0,,240,15
c4b3,0.998,0.002,0.0,-393.0,,c4b3,-343.0,,c4d3,-582.0,,c4d5,-928.0,,240,16
b8d7,0.0,0.035,0.965,-268.0,,f7f5,-412.0,,a7a5,-402.0,,e7d6,-384.0,,240,17
d2d4,0.957,0.043,0.0,-258.0,,d2d4,-239.0,,f3f4,-309.0,,b1c3,-330.0,,240,18
d7b6,0.0,0.173,0.827,-195.0,,a7a5,-298.0,,e7d6,-283.0,,f7f5,-221.0,,240,19
c2c3,0.995,0.005,0.0,-339.0,,f3f4,-194.0,,e2f4,-282.0,,b1c3,-320.0,,240,20
d8d6,0.0,0.155,0.845,-198.0,,e7d6,-350.0,,f7f5,-308.0,,c8d7,-243.0,,240,21
a2a4,0.831,0.169,0.0,-193.0,,b3c2,-220.0,,f3f4,-224.0,,a2a4,-235.0,,240,22
e7h4,0.001,0.315,0.684,-160.0,,f7f5,-247.0,,a7a5,-213.0,,b6c4,-125.0,,240,23
c1f4,1.0,0.0,0.0,-965.0,,b1d2,-115.0,,f3f4,-145.0,,b1a3,-158.0,,240,24
g6f4,0.0,0.0,1.0,-925.0,,g6f4,-976.0,,d6e6,-284.0,,d6e7,-274.0,,240,25
e2f4,1.0,0.0,0.0,-946.0,,e2f4,-961.0,,g1h1,-1055.0,,a4a5,-1058.0,,240,26
d6f4,0.0,0.0,1.0,-938.0,,d6f4,-977.0,,f7f5,-357.0,,f8e8,-267.0,,240,27
d1e2,1.0,0.0,0.0,-1020.0,,d1d2,-928.0,,d1c2,-987.0,,d1e2,-1007.0,,240,28
c8d7,0.0,0.0,1.0,-996.0,,c8e6,-966.0,,a7a5,-963.0,,c8d7,-961.0,,240,29
f1e1,1.0,0.0,0.0,-1248.0,,a4a5,-976.0,,e2d2,-982.0,,e2e5,-1010.0,,240,30
h4e1,0.0,0.0,1.0,-1153.0,,f4g3,-1288.0,,a8e8,-1164.0,,h4e1,-1140.0,,240,31
e2e1,1.0,0.0,0.0,-1204.0,,e2e1,-1184.0,,b1a3,-1240.0,,e2f1,-1330.0,,240,32
a8e8,0.0,0.0,1.0,-1215.0,,f8e8,-1176.0,,a8e8,-1161.0,,a7a5,-1048.0,,240,33
e1f2,1.0,0.0,0.0,-1223.0,,e1f2,-1195.0,,b1d2,-1553.0,,e1d1,-1561.0,,240,34
e8e3,0.0,0.0,1.0,-1012.0,,f4c1,-1202.0,,e8e3,-1069.0,,a7a5,-1004.0,,240,35
b1d2,1.0,0.0,0.0,-1025.0,,b1d2,-1008.0,,b3d1,-1142.0,,g1g2,-1149.0,,240,36
f8e8,0.0,0.0,1.0,-1026.0,,f8e8,-1030.0,,e3d3,-962.0,,a7a5,-942.0,,240,37
a1f1,1.0,0.0,0.0,-1281.0,,d2f1,-1023.0,,b3d1,-1059.0,,a4a5,-1100.0,,240,38
e3e2,0.0,0.0,1.0,-1327.0,,e3e2,-1317.0,,b6a4,-1059.0,,e3d3,-1058.0,,240,39
