move,win,draw,lose,centipawns,moves_to_force_mate,best_line_1_move,best_line_1_centipawns,best_line_1_moves_to_force_mate,best_line_2_move,best_line_2_centipawns,best_line_2_moves_to_force_mate,best_line_3_move,best_line_3_centipawns,best_line_3_moves_to_force_mate,game_id,move_number
e2e4,0.02,0.9,0.08,33.0,,e2e4,44.0,,d2d4,33.0,,g1f3,24.0,,360,0
e7e5,0.088,0.894,0.018,38.0,,c7c5,32.0,,e7e5,43.0,,e7e6,52.0,,360,1
f1c4,0.047,0.918,0.035,-7.0,,g1f3,41.0,,f1e2,6.0,,b1c3,0.0,,360,2
d7d6,0.087,0.895,0.018,37.0,,g8f6,1.0,,b8c6,27.0,,f8c5,27.0,,360,3
g1f3,0.021,0.905,0.074,30.0,,b1c3,36.0,,g1f3,32.0,,d2d3,31.0,,360,4
f8e7,0.107,0.879,0.014,48.0,,g8f6,31.0,,f8e7,46.0,,b8c6,68.0,,360,5
f3g5,1.0,0.0,0.0,-812.0,,d2d4,56.0,,b1c3,40.0,,e1g1,36.0,,360,6
e7g5,0.0,0.0,1.0,-795.0,,e7g5,-769.0,,d6d5,-102.0,,g8h6,38.0,,360,7
d2d3,1.0,0.0,0.0,-892.0,,b1c3,-799.0,,e1g1,-814.0,,f2f4,-822.0,,360,8
g5e7,0.0,0.0,1.0,-761.0,,g5c1,-944.0,,g8h6,-892.0,,h7h5,-793.0,,360,9
h2h4,1.0,0.0,0.0,-907.0,,e1g1,-771.0,,f2f4,-771.0,,b1c3,-805.0,,360,10
h7h6,0.0,0.0,1.0,-747.0,,g8f6,-900.0,,b8c6,-892.0,,h7h5,-838.0,,360,11
d1f3,1.0,0.0,0.0,-746.0,,d1f3,-747.0,,b1c3,-794.0,,d1h5,-844.0,,360,12
e7f6,0.0,0.0,1.0,-624.0,,g8f6,-776.0,,c8e6,-751.0,,e7f6,-634.0,,360,13
b1c3,1.0,0.0,0.0,-782.0,,g2g4,-600.0,,c1e3,-715.0,,b1c3,-738.0,,360,14
c7c6,0.0,0.0,1.0,-553.0,,b8c6,-791.0,,h6h5,-719.0,,c8e6,-679.0,,360,15
b2b4,1.0,0.0,0.0,-763.0,,g2g4,-469.0,,c1e3,-628.0,,a2a4,-659.0,,360,16
b7b5,0.0,0.0,1.0,-699.0,,b7b5,-748.0,,h6h5,-737.0,,b8a6,-723.0,,360,17
c4b3,1.0,0.0,0.0,-720.0,,c4b3,-686.0,,c3b5,-836.0,,c4f7,-866.0,,360,18
g8e7,0.0,0.0,1.0,-487.0,,a7a5,-692.0,,h6h5,-546.0,,g8e7,-479.0,,360,19
a2a4,1.0,0.0,0.0,-502.0,,g2g4,-400.0,,a2a4,-518.0,,f3h5,-566.0,,360,20
b5a4,0.0,0.0,1.0,-522.0,,b5a4,-533.0,,h6h5,-488.0,,c8e6,-432.0,,360,21
b3a4,1.0,0.0,0.0,-631.0,,a1a4,-533.0,,c3a4,-563.0,,b3a4,-633.0,,360,22
a7a5,0.0,0.0,1.0,-528.0,,c8e6,-657.0,,h6h5,-569.0,,a7a5,-545.0,,360,23
b4b5,1.0,0.0,0.0,-525.0,,b4b5,-476.0,,g2g4,-533.0,,a4b3,-620.0,,360,24
d8b6,0.003,0.715,0.282,-94.0,,c8b7,-525.0,,h6h5,-494.0,,c8d7,-473.0,,360,25
a1b1,0.988,0.012,0.0,-294.0,,c1e3,-75.0,,g2g4,-198.0,,b5c6,-285.0,,360,26
c6c5,0.032,0.937,0.031,0.0,,b6c5,-323.0,,b6d8,-289.0,,b6d4,-277.0,,360,27
c3d5,1.0,0.0,0.0,-605.0,,g2g4,64.0,,a4b3,-364.0,,c3d1,-426.0,,360,28
e7d5,0.0,0.0,1.0,-546.0,,e7d5,-587.0,,b6b7,206.0,,b6d8,342.0,,360,29
e4d5,1.0,0.0,0.0,-530.0,,e4d5,-551.0,,c1d2,-907.0,,b1b3,-961.0,,360,30
e8g8,0.0,0.002,0.998,-351.0,,h6h5,-583.0,,b8d7,-510.0,,f6e7,-485.0,,360,31
c1h6,1.0,0.0,0.0,-437.0,,g2g4,-338.0,,c1h6,-483.0,,f3e4,-690.0,,360,32
g7h6,0.0,0.002,0.998,-349.0,,b8d7,-511.0,,f8e8,-413.0,,e5e4,-400.0,,360,33
f3f6,1.0,0.0,0.0,-410.0,,f3f6,-350.0,,f3h5,-836.0,,g2g4,-890.0,,360,34
g8h7,0.0,0.003,0.997,-325.0,,g8h7,-397.0,,a8a7,-243.0,,b6d8,0.0,,360,35
g2g4,1.0,0.0,0.0,-715.0,,c2c3,-333.0,,d3d4,-334.0,,c2c4,-356.0,,360,36
b6d8,0.0,0.01,0.99,-283.0,,c8g4,-707.0,,b6d8,-325.0,,b8d7,-304.0,,360,37
f6f3,0.994,0.006,0.0,-303.0,,f6f3,-298.0,,g4g5,-419.0,,f6d8,-433.0,,360,38
b8d7,0.0,0.008,0.992,-287.0,,e5e4,-336.0,,b8d7,-314.0,,f7f5,-231.0,,360,39
g4g5,0.993,0.007,0.0,-292.0,,g4g5,-310.0,,b5b6,-385.0,,h1g1,-401.0,,360,40
f8g8,0.003,0.765,0.232,-80.0,,d7b6,-310.0,,e5e4,-195.0,,d8e7,-135.0,,360,41
g5h6,1.0,0.0,0.0,-603.0,,b5b6,-44.0,,c2c4,-187.0,,f3f7,-229.0,,360,42
d7b6,0.0,0.0,1.0,-644.0,,d7b6,-587.0,,f7f5,-446.0,,d7f6,-427.0,,360,43
a4b3,1.0,0.0,0.0,-735.0,,f3f7,-614.0,,e1d2,-662.0,,b1a1,-664.0,,360,44
c8g4,0.0,0.0,1.0,-692.0,,d8e7,-739.0,,d8f8,-700.0,,a8a7,-675.0,,360,45
f3e4,1.0,0.0,0.0,-848.0,,f3f7,-705.0,,f3e3,-784.0,,f3e4,-857.0,,360,46
